日期,PM2.5,PM10,SO2,CO,NO2,O3,AQI,空氣品質
2021/10/1,2,15,2.1,0.46,4.3,24.3,50,優
2021/10/2,11,17,1,0.33,1.2,14.2,50,優
2021/10/3,8,13,1.9,0.3,2.2,20.2,400,嚴重
2021/10/4,7,5,2.1,0.43,3.2,34.3,140,輕度
2021/10/5,2,16,1.8,0.2,6.2,21.6,55,優
2021/10/6,2,14,1.8,0.46,4.7,43.6,300,中度
2021/10/7,11,14,1.5,0.33,3.2,33.3,200,中度
2021/10/8,8,22,1.6,0.25,1.7,31.8,180,輕度
2021/10/9,8,14,1.4,0.33,2.7,42.6,160,輕度
2021/10/10,8,11,1.7,0.44,6,30.3,100,良
2021/10/11,7,26,1.9,0.33,8,12.3,60,優
2021/10/12,5,11,2.1,0.43,4.4,31.8,100,良
2021/10/13,4,48,2.1,0.46,2.1,42.6,50,優
2021/10/14,3,12,1.6,0.32,4.3,30.3,170,輕度
2021/10/15,2,5,1.6,0.46,1.2,12.3,400,嚴重
2021/10/16,1,17,1.8,0.33,2.2,21.6,300,中度
2021/10/17,5,5,1.9,0.3,3.2,43.6,300,中度
2021/10/18,5,5,2.1,0.43,6.2,33.3,400,嚴重
2021/10/19,6,13,2.1,0.2,4.7,42.6,200,中度
2021/10/20,9,32,1.6,0.46,3.2,30.3,300,中度
2021/10/21,8,16,1.6,0.33,1.7,12.3,250,中度
2021/10/22,2,25,1.8,0.25,2.7,21.6,330,中度
2021/10/23,4,10,1.9,0.33,6,43.6,60,優
2021/10/24,5,35,2.1,0.44,8,33.3,60,優
2021/10/25,4,15,2.1,0.33,4.4,21.6,50,優
2021/10/26,8,5,1.6,0.43,2.1,43.6,50,優
2021/10/27,4,11,1.6,0.46,4.4,33.3,60,優
2021/10/28,8,5,1.8,0.32,3.1,21.6,50,優
2021/10/29,8,36,1.8,0.43,2.4,43.6,50,優
2021/10/30,2,25,1.8,0.25,2.7,21.6,330,中度
,,,,,,,,
